,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664445346537.0,0.0,-0.212189,-1.626953,9.859207,0.069916,0.134476,0.027771,BrushingTeeth
1,1664445346639.0,0.0,-0.468369,-1.581467,9.47374,-0.018509,-0.156342,0.001144,BrushingTeeth
2,1664445346741.0,0.0,-0.4133,-1.818497,9.61261,-0.046204,0.075897,0.003265,BrushingTeeth
3,1664445346842.0,0.0,-0.25528,-1.981293,10.033981,0.028366,-0.227707,-0.018036,BrushingTeeth
4,1664445346945.0,0.0,-0.14035,-1.796951,10.457764,0.077362,-0.210663,-0.117111,BrushingTeeth
5,1664445347048.0,0.0,-0.607224,-1.966934,11.233475,0.198807,0.207977,-0.140549,BrushingTeeth
6,1664445347149.0,0.0,-0.985504,-1.275009,12.413818,0.198807,0.184555,-0.233215,BrushingTeeth
7,1664445347251.0,0.0,-0.348648,-0.257477,12.626907,0.478973,0.605331,-0.091537,BrushingTeeth
8,1664445347352.0,0.0,-1.198593,0.269257,10.5224,0.687759,1.809082,0.126831,BrushingTeeth
9,1664445347454.0,1.0,-1.505051,0.281219,5.329376,0.66539,1.351013,0.183304,BrushingTeeth
10,1664445347556.0,1.0,-1.670258,0.264465,3.653442,0.366058,0.904663,-0.147995,BrushingTeeth
11,1664445347658.0,1.0,-2.752426,-0.216766,3.909622,-0.089874,-1.429321,-0.536819,BrushingTeeth
12,1664445347759.0,1.0,-2.716522,1.102432,11.690781,-0.356201,-1.470871,-0.795685,BrushingTeeth
13,1664445347861.0,1.0,-3.995026,0.307556,18.205399,0.021973,0.022629,-0.332291,BrushingTeeth
14,1664445347964.0,1.0,-3.652649,0.882172,13.414597,0.309601,1.835709,0.355865,BrushingTeeth
15,1664445348066.0,1.0,-2.218521,0.920471,5.26474,0.240356,1.567261,0.789429,BrushingTeeth
16,1664445348168.0,1.0,-1.02861,0.616409,2.932785,-0.019577,0.01091,-0.086212,BrushingTeeth
17,1664445348269.0,1.0,-2.230499,0.384171,6.042847,-0.259262,-1.339844,-0.911789,BrushingTeeth
18,1664445348371.0,1.0,-4.10994,-0.226349,13.105743,-0.310394,-1.488983,-0.863861,BrushingTeeth
19,1664445348473.0,2.0,-5.182541,-0.087479,16.483963,0.171112,0.449799,-0.270508,BrushingTeeth
20,1664445348575.0,2.0,-4.1698,0.044189,11.863159,0.360733,1.245544,0.377182,BrushingTeeth
21,1664445348677.0,2.0,-2.996643,0.230942,5.24559,0.422516,1.019714,0.756409,BrushingTeeth
22,1664445348779.0,2.0,-1.418869,-0.326904,0.0,0.0,0.0,0.0,BrushingTeeth
23,1664445348881.0,2.0,-1.552933,-0.350845,7.424301,-0.39241,-1.049026,-0.9608,BrushingTeeth
24,1664445348987.0,2.0,-5.108322,-1.07869,13.378693,-0.154861,-0.729446,-0.912857,BrushingTeeth
25,1664445349088.0,2.0,-6.705261,-0.429855,16.270889,0.127441,0.334747,0.285568,BrushingTeeth
26,1664445349190.0,2.0,-4.538513,0.151932,11.49205,0.220108,1.488434,1.330582,BrushingTeeth
27,1664445349291.0,2.0,-2.33345,1.447205,3.457123,-0.06218,0.820511,1.316742,BrushingTeeth
28,1664445349393.0,2.0,-1.275208,0.786392,2.128326,-0.50853,-0.583511,-0.253464,BrushingTeeth
29,1664445349494.0,3.0,-2.941574,-0.516052,10.201584,-0.855804,-1.563553,-1.357071,BrushingTeeth
30,1664445349596.0,3.0,-6.884827,-2.874344,20.317078,0.180695,-0.264999,-0.238541,BrushingTeeth
31,1664445349701.0,3.0,-4.519348,-0.159317,12.219894,1.134109,1.419189,1.330582,BrushingTeeth
32,1664445349803.0,3.0,-1.816299,2.833435,3.200943,0.682434,1.088959,1.303955,BrushingTeeth
33,1664445349906.0,3.0,-0.638351,2.007446,1.058121,-0.609726,-0.467392,-0.258789,BrushingTeeth
34,1664445350007.0,3.0,-1.864182,0.271637,9.184052,-1.598297,-1.892715,-1.492371,BrushingTeeth
35,1664445350109.0,3.0,-4.445129,-3.111359,18.291595,-0.488281,-1.527328,-0.761597,BrushingTeeth
36,1664445350211.0,3.0,-4.212891,-1.243881,14.539871,1.593246,2.155289,1.179321,BrushingTeeth
37,1664445350312.0,3.0,-1.035782,1.617188,4.639847,1.374863,1.7686,1.279449,BrushingTeeth
38,1664445350415.0,3.0,-1.279999,1.765625,-0.500504,-0.170837,0.397598,-0.005249,BrushingTeeth
39,1664445350517.0,4.0,-3.647858,0.489517,6.428314,-1.6931,-1.7798,-1.148285,BrushingTeeth
40,1664445350620.0,4.0,-6.774689,-0.858414,20.470306,-0.256058,-0.311859,0.048004,BrushingTeeth
41,1664445350721.0,4.0,-3.446747,1.011459,12.054688,1.058472,1.560867,1.291168,BrushingTeeth
42,1664445350823.0,4.0,-2.319077,2.740067,2.336624,0.933838,1.412796,0.905548,BrushingTeeth
43,1664445350924.0,4.0,-2.354996,2.917236,0.435638,-0.575638,-0.539825,-0.667847,BrushingTeeth
44,1664445351027.0,4.0,-2.955933,0.683441,10.390717,-1.471527,-2.380615,-1.518997,BrushingTeeth
45,1664445351128.0,4.0,-5.864899,-0.640549,18.325104,0.029434,-0.261795,-0.408997,BrushingTeeth
46,1664445351237.0,4.0,-3.20015,0.357834,12.033142,1.23851,0.892944,0.982239,BrushingTeeth
47,1664445351338.0,4.0,-0.645538,2.601196,3.72287,1.072327,0.985626,0.483704,BrushingTeeth
48,1664445351439.0,4.0,-1.268021,2.352203,2.013412,-0.598007,-0.572861,-1.013,BrushingTeeth
49,1664445351541.0,5.0,-3.509003,-0.259872,10.321289,-1.302155,-1.278061,-1.615936,BrushingTeeth
50,1664445351643.0,5.0,-5.757156,-1.559921,19.359406,0.254196,-0.339569,-0.215118,BrushingTeeth
51,1664445351745.0,5.0,-2.618362,1.569305,9.083496,1.294968,0.441284,0.969467,BrushingTeeth
52,1664445351848.0,5.0,-1.019028,2.254044,4.797867,0.674988,0.588287,0.291962,BrushingTeeth
53,1664445351950.0,5.0,-0.592865,1.796753,3.904831,-0.845154,-0.908417,-0.958664,BrushingTeeth
54,1664445352052.0,5.0,-3.396469,-1.263046,10.500854,-0.964462,-1.188583,-1.309143,BrushingTeeth
55,1664445352154.0,5.0,-5.184937,-1.105026,19.826279,0.214783,-0.307602,-0.225769,BrushingTeeth
56,1664445352255.0,5.0,-3.303101,0.041794,13.421783,0.982849,1.069778,0.662659,BrushingTeeth
57,1664445352357.0,5.0,-1.804321,1.164688,4.45549,0.711197,1.071915,0.813934,BrushingTeeth
58,1664445352458.0,6.0,-1.459564,1.734497,1.785965,-0.211319,-0.144623,-0.006317,BrushingTeeth
59,1664445352561.0,6.0,-2.939178,0.118408,10.472122,-1.386307,-0.581375,-1.166397,BrushingTeeth
