,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664369024754.0,0.0,-4.658218,-1.428238,7.651764,-0.105286,-1.157104,-0.052917,Eating
1,1664369024855.0,0.0,-2.649475,-1.124176,9.401917,-0.010468,0.133987,0.035492,Eating
2,1664369024956.0,0.0,-2.941574,-0.812927,9.246292,-0.034973,0.053024,-0.016708,Eating
3,1664369025057.0,0.0,-2.84581,-1.081085,9.579086,-0.020065,-0.013016,-0.007111,Eating
4,1664369025159.0,0.0,-3.075653,-1.224731,9.43544,0.02681,-0.118484,0.038696,Eating
5,1664369025260.0,0.0,-3.549698,-1.521606,9.576691,-0.017929,0.016815,0.124985,Eating
6,1664369025361.0,0.0,-4.691742,-1.983688,9.938217,-0.069061,-0.46788,0.360397,Eating
7,1664369025462.0,0.0,-2.378937,-1.385147,10.546341,-0.136169,-0.479599,0.728989,Eating
8,1664369025564.0,0.0,-2.09642,-0.470566,9.763443,0.069427,0.422684,0.703415,Eating
9,1664369025666.0,0.0,-2.735672,-0.518448,8.958984,0.020416,0.358765,0.565994,Eating
10,1664369025767.0,1.0,-3.281555,-0.556747,9.131378,-0.192627,0.155289,0.335907,Eating
11,1664369025868.0,1.0,-2.161057,-0.097061,9.234329,-0.222458,0.164886,0.024841,Eating
12,1664369025969.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
13,1664369026073.0,1.0,-1.940796,0.683441,10.479309,0.28035,-0.374146,-0.709122,Eating
14,1664369026174.0,1.0,-3.461121,-1.787369,11.937378,0.671295,-0.1483,-0.800735,Eating
15,1664369026275.0,1.0,-4.162613,-3.355576,11.417831,1.07077,0.190445,-0.333084,Eating
16,1664369026377.0,1.0,-3.566467,-1.234314,8.269455,1.046265,0.627213,-0.199921,Eating
17,1664369026478.0,1.0,-3.331833,0.930054,5.286285,0.249451,0.420547,0.038696,Eating
18,1664369026579.0,1.0,-3.777145,1.344254,7.22319,-0.509018,-0.305969,-0.098724,Eating
19,1664369026681.0,1.0,-3.465897,0.819916,10.543945,-0.458954,-0.379471,-0.025223,Eating
20,1664369026782.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
21,1664369026884.0,2.0,-3.678986,0.688232,11.310104,0.542404,0.161682,-0.232956,Eating
22,1664369026985.0,2.0,-3.183395,1.605209,9.617401,0.930161,0.135056,-0.358658,Eating
23,1664369027086.0,2.0,-2.876938,1.365799,8.125809,1.176239,0.43866,-0.770905,Eating
24,1664369027190.0,2.0,-3.956711,2.914841,7.330933,1.217773,0.365158,-0.709122,Eating
25,1664369027292.0,2.0,-4.799469,3.511002,6.7659,1.148529,0.08606,-0.653732,Eating
26,1664369027393.0,2.0,-5.261551,4.59079,5.070801,0.93335,0.239456,-0.520569,Eating
27,1664369027494.0,2.0,-6.971008,4.248413,5.315018,0.052383,-0.121674,-0.353317,Eating
28,1664369027596.0,2.0,-6.149811,4.578812,7.146576,-0.118057,-0.13765,0.071716,Eating
29,1664369027698.0,2.0,-5.326202,4.071243,7.091507,-0.077576,-0.051361,-0.003922,Eating
30,1664369027799.0,3.0,-5.637451,3.975479,6.574371,0.006577,0.042374,-0.04866,Eating
31,1664369027901.0,3.0,-5.845734,4.035324,6.868851,-0.063736,-0.131256,0.033371,Eating
32,1664369028003.0,3.0,-5.654205,4.064056,7.431488,-0.0616,-0.092911,0.072784,Eating
33,1664369028104.0,3.0,-5.697296,3.92041,7.024475,-0.030716,0.069016,0.044022,Eating
34,1664369028206.0,3.0,-5.548859,3.391296,6.399582,-0.139374,-0.128067,0.164398,Eating
35,1664369028308.0,3.0,-4.828201,3.26918,6.073975,-0.49942,-0.512619,0.447754,Eating
36,1664369028409.0,3.0,-4.512177,2.436005,7.675705,-0.936188,-0.259094,0.678909,Eating
37,1664369028511.0,3.0,-5.127487,2.862167,9.133774,-1.09491,0.087112,1.110352,Eating
38,1664369028614.0,3.0,-5.113113,1.815903,8.994904,-1.361221,0.498306,1.27121,Eating
39,1664369028716.0,3.0,-4.524139,1.887726,8.477753,-1.703171,0.626144,1.194504,Eating
40,1664369028817.0,4.0,-4.753983,-0.125793,9.689224,-1.528473,0.0,0.0,Eating
41,1664369028922.0,4.0,-2.43161,-1.04277,10.388336,-0.920212,0.017883,0.655487,Eating
42,1664369029023.0,4.0,-4.270355,-1.483307,9.916672,-0.271454,-0.136581,0.082367,Eating
43,1664369029126.0,4.0,-4.737228,-1.069107,9.729919,0.123749,-0.052429,-0.043335,Eating
44,1664369029227.0,4.0,-4.813843,-0.918274,9.275024,0.132278,-0.079056,-0.032684,Eating
45,1664369029329.0,4.0,-4.471466,-0.877579,8.958984,0.13121,-0.005554,-0.040131,Eating
46,1664369029430.0,4.0,-4.313446,-0.757858,8.540009,0.121628,0.012543,-0.08168,Eating
47,1664369029531.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
48,1664369029633.0,4.0,-3.542511,-0.137772,9.696411,0.158905,-0.266556,-0.346939,Eating
49,1664369029734.0,4.0,-3.451538,0.951599,9.205597,0.185532,-0.317688,-0.50885,Eating
50,1664369029836.0,5.0,-3.446747,-0.465775,8.96138,0.027878,-0.285721,-0.603668,Eating
51,1664369029937.0,5.0,-4.514557,-2.417038,10.354813,0.024689,-0.091843,-0.378891,Eating
52,1664369030039.0,5.0,-4.624695,-3.875107,11.606979,0.748001,0.220276,-0.066772,Eating
53,1664369030140.0,5.0,-3.808273,0.0,0.0,0.0,0.0,0.0,Eating
54,1664369030242.0,5.0,-3.985443,0.585281,6.459442,0.200455,0.145706,-0.146667,Eating
55,1664369030343.0,5.0,-4.016571,0.925262,7.350082,-0.347092,-0.244186,-0.046524,Eating
56,1664369030444.0,5.0,-4.023758,0.125595,10.548737,-0.431244,-0.259094,-0.009247,Eating
57,1664369030546.0,5.0,-4.066849,-0.719559,12.849564,0.305908,0.066879,-0.126419,Eating
58,1664369030646.0,5.0,-2.419632,-0.176071,11.439377,1.311523,0.396042,-0.534424,Eating
59,1664369030748.0,5.0,-4.591171,1.521423,8.748306,1.819656,-0.00769,-0.712326,Eating
60,1664369030849.0,6.0,-4.698914,2.191788,6.897583,1.762131,-0.039642,-0.917908,Eating
61,1664369030951.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
62,1664369031052.0,6.0,-6.288666,4.322632,0.0,0.0,0.0,0.0,Eating
63,1664369031153.0,6.0,-7.217621,4.712891,4.970245,0.027878,0.059418,-0.094467,Eating
64,1664369031255.0,6.0,-5.673355,4.617126,6.751541,-0.176651,-0.181335,0.074905,Eating
65,1664369031357.0,6.0,-5.706879,4.581207,7.16095,0.040665,-0.060959,-0.031616,Eating
66,1664369031459.0,6.0,-5.931931,4.526138,6.330154,0.113098,0.092438,-0.031616,Eating
67,1664369031561.0,6.0,-6.156982,4.377701,6.449875,-0.049881,-0.021545,0.037628,Eating
68,1664369031663.0,6.0,-6.034882,4.41362,6.789841,-0.074387,0.014679,0.021652,Eating
69,1664369031766.0,7.0,-5.821793,4.657822,6.454651,0.009766,0.060486,0.001404,Eating
70,1664369031868.0,7.0,-5.714066,4.550079,6.540848,0.024689,-0.000229,-0.017761,Eating
71,1664369031970.0,7.0,-5.623077,4.454315,6.708435,0.021484,-0.037521,-0.026291,Eating
72,1664369032072.0,7.0,-5.90799,4.442337,6.631821,-0.009399,-0.002365,-0.00499,Eating
73,1664369032174.0,7.0,-5.924744,4.521347,6.689285,-0.032837,-0.035385,0.015259,Eating
74,1664369032276.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
75,1664369032377.0,7.0,-5.936722,4.528534,6.504929,0.031067,0.006165,-0.006042,Eating
76,1664369032478.0,7.0,-5.855316,4.389664,6.533661,-0.027512,-0.001297,0.024841,Eating
77,1664369032580.0,7.0,-6.025299,3.898865,6.006943,-0.183044,-0.093979,0.185699,Eating
78,1664369032683.0,7.0,-5.247192,2.955551,5.829773,-0.535645,-0.571213,0.383835,Eating
79,1664369032784.0,8.0,-4.849747,3.159058,6.959839,-0.932983,-0.74379,0.85788,Eating
80,1664369032886.0,8.0,-3.482666,2.96991,8.116226,-1.157761,-0.556305,1.215805,Eating
81,1664369032988.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Eating
82,1664369033089.0,8.0,-3.501816,2.112793,10.271011,-1.606232,0.688995,1.533264,Eating
83,1664369033190.0,8.0,-2.275986,0.774429,10.625351,-1.152435,0.051971,1.184921,Eating
84,1664369033291.0,8.0,-2.177826,-0.15213,10.515228,-0.723129,-0.212219,0.701294,Eating
85,1664369033393.0,8.0,-2.031784,-1.057144,10.934204,-0.169189,-0.140854,0.040817,Eating
86,1664369033495.0,8.0,-2.393295,0.037018,10.067505,0.041733,-0.014084,-0.112579,Eating
87,1664369033596.0,8.0,-2.182617,0.558945,10.594223,0.157837,0.010422,-0.337341,Eating
88,1664369033697.0,8.0,-2.46991,1.234116,10.043564,0.347458,0.1521,-0.379959,Eating
89,1664369033798.0,9.0,-2.366959,1.514236,8.317337,0.069427,-0.196243,-0.605789,Eating
90,1664369033900.0,9.0,-3.406052,-1.61499,10.591843,0.118423,-0.03006,-0.438553,Eating
91,1664369034001.0,9.0,-3.185776,-1.641327,9.665283,0.705383,0.179794,-0.158386,Eating
92,1664369034102.0,9.0,-3.104385,0.101654,7.678085,0.376221,0.094574,-0.166901,Eating
93,1664369034204.0,9.0,-3.116348,0.405716,7.984558,-0.108475,-0.116348,-0.082748,Eating
94,1664369034305.0,9.0,-2.941574,0.616409,9.935822,-0.300217,-0.139786,0.038696,Eating
95,1664369034406.0,9.0,-2.733276,0.705002,10.433823,-0.092499,-0.003433,0.06958,Eating
96,1664369034507.0,9.0,-2.369354,0.614014,10.117783,0.116302,0.000839,-0.044403,Eating
97,1664369034608.0,9.0,-2.012619,-0.025238,11.046738,0.425217,0.192581,-0.265976,Eating
98,1664369034710.0,9.0,-2.517807,1.023422,10.685211,1.222046,1.192856,-0.93602,Eating
99,1664369034811.0,10.0,-4.002213,2.040955,9.246292,1.644943,0.353439,-0.94455,Eating
100,1664369034912.0,10.0,-4.658218,3.137497,7.206436,1.640686,0.678345,-0.898743,Eating
101,1664369035013.0,10.0,-4.969467,4.380096,4.412399,1.388214,0.38858,-0.889145,Eating
102,1664369035114.0,10.0,-7.038055,4.202927,3.825821,0.64679,0.080719,-0.655853,Eating
103,1664369035215.0,10.0,-7.243958,4.748795,4.211288,0.171692,-0.212219,-0.148788,Eating
104,1664369035317.0,10.0,-6.786667,4.882874,5.784286,-0.114868,-0.202637,0.116455,Eating
105,1664369035418.0,10.0,-6.322189,5.162994,6.208054,0.058777,-0.026871,-0.03801,Eating
106,1664369035519.0,10.0,-6.353317,4.705704,5.743576,0.021484,0.0,0.0,Eating
