,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664372632821.0,0.0,0.738312,-0.116211,9.63176,0.005936,0.036591,0.004959,Null166437263292
1,1664372633124.0,0.0,0.628174,-0.149734,9.636551,-0.042007,0.048309,-0.008896,Laying
2,1664372633226.0,0.0,0.597061,-0.140152,9.624573,-0.005783,0.08667,-0.007828,Laying
3,1664372633327.0,0.0,0.594666,-0.202408,9.562332,0.011261,-0.010269,-0.035522,Laying
4,1664372633428.0,0.0,0.484528,-0.099457,9.694016,0.038956,0.090927,-0.002502,Laying
5,1664372633529.0,0.0,0.307358,-0.032425,9.708374,0.021912,0.110092,0.004959,Laying
6,1664372633630.0,0.0,0.156525,-0.075516,9.528809,-0.006851,0.153778,0.02626,Laying
7,1664372633731.0,0.0,-0.008682,-0.05397,9.655701,0.049606,0.226212,0.047562,Laying
8,1664372633832.0,0.0,-0.056564,0.003494,9.69162,0.078369,0.223022,0.083786,Laying
9,1664372633933.0,0.0,-0.075714,0.077713,9.502472,0.027237,0.178268,0.05928,Laying
10,1664372634035.0,0.0,-0.580887,0.051376,9.643738,-0.12616,0.380676,0.101898,Laying
11,1664372634136.0,1.0,-0.722153,0.053772,9.224747,-0.155991,0.040863,0.124268,Laying
12,1664372634237.0,1.0,-1.160294,-0.006088,10.007645,-0.118698,0.444595,0.351166,Laying
13,1664372634338.0,1.0,-1.555328,-0.343658,9.75386,0.010193,-0.046494,0.215881,Laying
14,1664372634439.0,1.0,-1.564911,-0.714767,9.63176,-0.026016,0.116486,0.056091,Laying
15,1664372634541.0,1.0,-0.561737,1.758438,9.689224,0.166794,0.240067,-0.574554,Laying
16,1664372634642.0,1.0,-1.366196,0.051376,10.242279,0.054932,-0.127457,-0.008896,Laying
17,1664372634743.0,1.0,-2.204163,0.221359,9.926254,-0.176224,-0.242508,-0.000366,Laying
18,1664372634844.0,1.0,-2.005447,-0.559143,9.579086,-0.067566,-0.156219,-0.139923,Laying
19,1664372634945.0,1.0,-2.247253,0.058563,9.555145,0.100739,-0.019867,0.009216,Laying
20,1664372635047.0,1.0,-0.899323,-0.827301,10.096237,-0.215637,-0.134918,-0.145248,Laying
21,1664372635148.0,2.0,-0.14035,-0.288605,9.847244,-0.004715,0.046188,0.068878,Laying
