,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664371621168.0,0.0,-0.607224,1.938004,9.318115,0.07312,0.007736,-0.014313,Sitting
1,1664371621270.0,0.0,-0.734116,1.957169,9.200806,0.019867,0.005615,-0.008987,Sitting
2,1664371621372.0,0.0,-0.659897,1.887726,9.567123,-0.07814,-0.12648,0.036819,Sitting
3,1664371621473.0,0.0,-0.5354,1.854218,9.181656,0.043289,-0.039124,-0.028152,Sitting
4,1664371621574.0,0.0,-1.279999,1.356216,8.329315,-0.399857,-0.812515,0.421387,Sitting
5,1664371621676.0,0.0,1.755844,1.835052,10.481705,0.197754,0.095093,0.302078,Sitting
6,1664371621777.0,0.0,-0.030228,1.696198,9.275024,0.049683,0.032242,0.009125,Sitting16643716
7,1664371622082.0,0.0,0.113434,1.729706,9.423462,-0.005707,-0.000778,0.00061,Sitting1664371622
8,1664371622688.0,1.0,0.123001,1.720139,9.41629,0.002823,0.012009,-0.000458,Sitting
9,1664371622799.0,1.0,0.029633,1.693802,9.466568,-0.002518,0.003479,-0.000458,Sitting
10,1664371622901.0,1.0,0.036819,1.648315,9.413895,0.001755,0.018402,0.005936,Sitting
11,1664371623003.0,1.0,-0.023041,1.681824,9.406708,0.001755,0.022659,-0.008987,Sitting
12,1664371623105.0,1.0,0.096664,1.703384,9.459381,0.000687,0.022659,0.002731,Sitting
13,1664371623206.0,2.0,0.051178,1.691406,9.461777,-0.007843,-0.006104,0.004868,Sitting
14,1664371623309.0,2.0,0.017654,1.674652,9.461777,-0.003571,-0.007172,0.001663,Sitting
15,1664371623411.0,2.0,-0.066132,1.638733,9.468948,-0.00145,-0.005035,0.004868,Sitting
16,1664371623513.0,2.0,0.094269,1.72493,9.504868,0.001755,-0.025284,0.008057,Sitting
17,1664371623614.0,2.0,0.108643,1.700989,9.516846,-0.005707,-0.013565,-0.005783,Sitting
18,1664371623717.0,2.0,0.089493,1.693802,9.464172,0.000687,-0.019958,0.004868,Sitting
19,1664371623820.0,2.0,0.043991,1.696198,9.543182,-0.004639,0.005615,-0.01857,Sitting
20,1664371623921.0,2.0,0.11821,1.679428,9.47374,-0.008896,-0.010361,0.006989,Sitting
21,1664371624023.0,2.0,0.008087,1.669861,9.43544,-0.004639,-0.003983,0.005936,Sitting
22,1664371624124.0,2.0,0.058365,1.686615,9.428253,-0.005707,-0.005035,-0.001526,Sitting
23,1664371624226.0,3.0,0.123001,1.679428,9.538391,0.002823,0.00029,-0.003662,Sitting
24,1664371624327.0,3.0,0.0392,1.696198,9.413895,0.002823,0.001358,0.005936,Sitting
25,1664371624429.0,3.0,0.091873,1.691406,9.452194,0.000687,-0.001846,0.001663,Sitting
26,1664371624530.0,3.0,0.07991,1.748871,9.531204,0.049683,-0.088135,0.012314,Sitting
27,1664371624632.0,3.0,0.228348,1.736893,9.392334,0.067795,-0.191467,0.061325,Sitting
28,1664371624734.0,3.0,0.520447,1.832657,9.571899,0.052887,-0.103043,-0.010056,Sitting
29,1664371624837.0,3.0,0.362427,1.880554,9.425858,0.030518,-0.080673,0.010193,Sitting
30,1664371624940.0,3.0,0.369614,1.911667,9.239105,0.053955,-0.059372,0.021912,Sitting
31,1664371625042.0,3.0,0.585083,1.928436,9.327698,0.0401,0.03331,0.001663,Sitting
32,1664371625144.0,3.0,0.635361,1.976318,9.43544,0.009201,0.026917,0.015518,Sitting
33,1664371625245.0,4.0,0.470169,1.983505,9.476135,0.000687,0.017334,-0.010056,Sitting
34,1664371625347.0,4.0,0.345673,1.933228,9.131378,0.004944,0.084442,-0.011108,Sitting
35,1664371625449.0,4.0,0.364822,1.952377,9.35643,0.008148,0.01413,-0.013245,Sitting
36,1664371625552.0,4.0,0.412704,1.973923,9.392334,-0.011032,-0.025284,-0.005783,Sitting
37,1664371625653.0,4.0,0.285812,1.952377,9.358826,-0.015289,-0.00824,-0.005783,Sitting
38,1664371625756.0,4.0,0.328903,1.942795,9.294174,-0.006775,0.001358,-0.002594,Sitting
39,1664371625857.0,4.0,0.398331,1.954773,9.382767,0.006012,0.00029,-0.001526,Sitting
40,1664371625962.0,4.0,0.398331,1.988281,9.466568,-0.008896,-0.019958,0.003799,Sitting
41,1664371626063.0,4.0,0.352844,1.973923,9.327698,0.001755,-0.010361,0.004868,Sitting
42,1664371626165.0,4.0,0.35524,1.983505,9.322906,0.002823,0.007736,-0.001526,Sitting
43,1664371626268.0,5.0,0.379181,1.993073,9.358826,0.002823,0.017334,-0.003662,Sitting
44,1664371626372.0,5.0,0.297775,1.98111,9.389954,-0.014236,0.116394,-0.021774,Sitting
45,1664371626474.0,5.0,0.115814,1.894913,9.143341,-0.003571,-0.006104,0.020844,Sitting
46,1664371626575.0,5.0,0.388763,1.921249,9.37558,0.00708,-0.006104,0.005936,Sitting
47,1664371626676.0,5.0,0.321716,1.976318,9.27742,-0.000381,-0.003983,0.012314,Sitting
48,1664371626778.0,5.0,0.328903,2.021805,9.428253,0.006012,-0.012497,0.015518,Sitting
49,1664371626880.0,5.0,0.35524,1.926041,9.351639,0.011337,0.022659,-0.005783,Sitting
50,1664371626982.0,5.0,0.33609,1.952377,9.387558,-0.0121,-0.005035,0.004868,Sitting
51,1664371627084.0,5.0,0.206802,1.904495,9.303757,0.004944,0.005615,-0.010056,Sitting
52,1664371627188.0,6.0,0.345673,1.961945,9.440231,-0.014236,0.034378,-0.05159,Sitting
53,1664371627290.0,6.0,0.266663,1.938004,9.452194,-0.000381,0.053543,-0.043076,Sitting
54,1664371627391.0,6.0,0.168488,1.94519,9.411499,-0.009964,-0.016754,-0.011108,Sitting
55,1664371627494.0,6.0,0.233139,1.918854,9.406708,-0.009964,-0.014633,0.00061,Sitting
56,1664371627595.0,6.0,0.249893,1.957169,9.33728,-0.007843,-0.011429,0.003799,Sitting
57,1664371627697.0,6.0,0.206802,1.928436,9.389954,-0.006775,-0.007172,0.008057,Sitting
58,1664371627799.0,6.0,0.211594,1.923645,9.298965,-0.006775,-0.011429,0.008057,Sitting
59,1664371627905.0,6.0,0.103851,1.906891,9.392334,-0.00145,0.008804,-0.008987,Sitting
60,1664371628007.0,6.0,0.367218,1.959549,9.442627,-0.002518,-0.010361,0.002731,Sitting
61,1664371628109.0,6.0,0.269058,2.005051,9.361221,-0.00145,-0.014633,0.012314,Sitting
62,1664371628211.0,7.0,0.271439,1.890121,9.351639,0.013474,-0.010361,0.015518,Sitting
63,1664371628312.0,7.0,0.225952,1.990677,9.368393,0.00708,-0.012497,0.00061,Sitting
64,1664371628414.0,7.0,0.292999,1.933228,9.31572,0.003876,-0.001846,0.010193,Sitting
65,1664371628515.0,7.0,0.247498,1.959549,9.306152,0.003876,-0.002914,0.016586,Sitting
66,1664371628617.0,7.0,0.281021,0.0,0.0,0.0,0.0,0.0,Sitting
67,1664371628719.0,7.0,0.288208,1.952377,9.346848,-0.005707,-0.009308,-0.002594,Sitting
68,1664371628821.0,7.0,0.254684,1.959549,9.358826,0.003876,0.013062,-0.006851,Sitting
69,1664371628922.0,7.0,0.331299,1.959549,9.399521,0.001755,-0.012497,0.005936,Sitting
70,1664371629024.0,7.0,0.326508,1.969131,9.380371,0.000687,0.01413,-0.005783,Sitting
71,1664371629126.0,7.0,0.225952,2.007446,9.409103,-0.000381,0.018402,0.009125,Sitting
72,1664371629228.0,8.0,0.281021,1.954773,9.306152,-0.004639,0.001358,0.006989,Sitting
73,1664371629329.0,8.0,0.23793,1.969131,9.354034,-0.008896,-0.010361,0.008057,Sitting
74,1664371629430.0,8.0,0.185257,1.942795,9.349243,0.004944,0.00029,0.001663,Sitting
75,1664371629532.0,8.0,0.259476,1.961945,9.332489,0.006012,0.005615,-0.003662,Sitting
76,1664371629635.0,8.0,0.216385,1.993073,9.349243,0.002823,-0.001846,0.00061,Sitting
77,1664371629737.0,8.0,0.228348,1.985886,9.380371,0.006012,0.008804,-0.002594,Sitting
78,1664371629838.0,8.0,0.417496,2.050537,9.387558,0.00708,0.003479,-0.001526,Sitting
79,1664371629940.0,8.0,0.115814,2.014618,9.332489,-0.002518,0.004547,-0.005783,Sitting
80,1664371630042.0,8.0,0.278625,1.983505,9.346848,0.018799,0.012009,0.001663,Sitting
81,1664371630143.0,8.0,0.312149,2.017014,9.332489,0.001755,0.006683,-0.007919,Sitting
82,1664371630245.0,9.0,0.281021,1.993073,9.370789,-0.000381,0.004547,0.004868,Sitting
83,1664371630347.0,9.0,0.137375,1.988281,9.318115,0.002823,-0.007172,0.00061,Sitting
84,1664371630448.0,9.0,0.266663,2.038559,9.322906,0.004944,-0.003983,0.004868,Sitting
85,1664371630550.0,9.0,0.23793,2.005051,9.366013,-0.003571,0.001358,-0.005783,Sitting
86,1664371630651.0,9.0,0.170883,1.990677,9.346848,0.00708,-0.000778,-0.002594,Sitting
87,1664371630753.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,Sitting
88,1664371630854.0,9.0,0.360031,1.938004,9.761047,-0.106903,-0.370422,-0.026031,Sitting
