,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664371991485.0,0.0,-0.784393,5.79985,7.941452,0.234711,0.000153,0.059219,Standing
1,1664371991586.0,0.0,-0.602432,5.876465,8.173691,-0.287277,-0.030746,-0.005753,Standing
2,1664371991687.0,0.0,-1.220139,5.155823,7.333328,-0.454514,0.192963,-0.135727,Standing
3,1664371991788.0,0.0,-0.468369,5.450302,6.943069,-0.042267,-0.287476,-0.258224,Standing
4,1664371991890.0,0.0,0.824509,5.117508,7.881607,-0.39061,-1.247284,-0.865433,Standing
5,1664371991991.0,0.0,-0.762848,4.799072,8.159332,0.43071,-1.313324,-2.281158,Standing
6,1664371992092.0,0.0,0.884354,2.321075,5.834564,-1.028702,-4.391937,-1.986084,Standing
7,1664371992193.0,0.0,2.773392,3.084839,10.56311,-1.64122,-2.055817,-2.78717,Standing
8,1664371992296.0,0.0,-4.038116,2.098419,10.776184,-2.405014,-1.092819,-1.671829,Standing
9,1664371992397.0,0.0,1.059143,0.630768,8.899139,-1.936295,-0.439804,-1.056107,Standing
10,1664371992499.0,1.0,3.541931,-1.114594,9.011658,-1.335495,-1.501877,-0.595917,Standing
11,1664371992600.0,1.0,4.169205,-0.369995,6.483383,0.931396,-3.055023,-3.656418,Standing
12,1664371992701.0,1.0,6.371872,2.462341,5.590347,-0.435349,-3.379944,-2.562393,Standing
13,1664371992802.0,1.0,9.740509,5.704086,5.983002,-0.714447,-5.783173,-3.223923,Standing
14,1664371992904.0,1.0,4.080612,7.964218,0.560135,-1.10965,-1.656342,-1.531219,Standing
15,1664371993005.0,1.0,7.782059,7.413544,1.101227,0.399826,0.028915,-0.942123,Standing
16,1664371993108.0,1.0,3.901062,7.164551,2.013412,-1.042542,0.524261,0.289322,Standing
17,1664371993209.0,1.0,6.675934,8.562759,3.840195,-0.64946,3.104324,0.478943,Standing
18,1664371993311.0,1.0,4.758179,7.078354,3.095596,0.556412,1.924011,-0.286987,Standing
19,1664371993412.0,1.0,3.362366,7.08075,4.182556,0.324188,2.067825,0.216888,Standing
20,1664371993515.0,2.0,3.37912,7.461426,3.983841,0.179306,1.440384,0.479996,Standing
21,1664371993616.0,2.0,2.770996,7.289047,4.074814,-0.531219,-0.250183,-0.121872,Standing
22,1664371993717.0,2.0,2.352005,7.353699,5.300644,-0.350128,-0.662445,-0.214554,Standing
23,1664371993819.0,2.0,3.094208,7.413544,5.451492,0.169724,0.345291,0.344711,Standing
24,1664371993923.0,2.0,3.517975,7.188492,4.553665,0.301819,0.406021,0.264816,Standing
25,1664371994025.0,2.0,3.156464,7.176529,4.819412,0.049347,0.026779,0.114624,Standing
26,1664371994128.0,2.0,2.996048,6.829361,4.587173,0.047226,0.097092,0.093307,Standing
27,1664371994230.0,2.0,3.209137,7.013718,4.654221,-0.374619,-0.123428,0.108231,Standing
28,1664371994331.0,2.0,3.460526,7.198074,5.580765,-0.435349,-0.236343,0.015549,Standing
