,time,seconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz,Activity
0,1664369691351.0,0.0,1.30574,-4.346771,8.116226,-0.040283,0.005478,0.016464,Walking
1,1664369691452.0,0.0,0.707184,-4.327621,7.347687,-0.416321,0.952499,0.765335,Walking
2,1664369691553.0,0.0,0.151733,-5.261353,8.233551,0.247345,0.031036,-0.39473,Walking
3,1664369691654.0,0.0,0.84845,-3.472885,7.804993,0.748016,0.044891,-0.304184,Walking16643696
4,1664369691957.0,0.0,2.296936,-3.156845,6.622253,1.015396,-0.893616,0.6194,Walking
5,1664369692059.0,0.0,-0.032623,-3.882294,5.592743,-0.465317,-2.182571,0.391434,Walking
6,1664369692160.0,0.0,0.460587,-6.3172,5.676544,-0.032822,-2.779129,1.222336,Walking
7,1664369692261.0,0.0,4.60495,-9.860611,5.66217,0.284622,-2.035568,3.494553,Walking
8,1664369692362.0,1.0,8.447647,-10.82309,6.026093,-0.551605,-0.433411,3.303864,Walking
9,1664369692463.0,1.0,7.873032,-7.818359,5.00856,-1.489044,-0.590012,0.937912,Walking
10,1664369692564.0,1.0,4.985626,-6.367477,5.633438,-0.719925,-1.045944,0.410614,Walking
11,1664369692665.0,1.0,4.954498,-6.429733,5.358109,0.121643,0.050217,0.657745,Walking
12,1664369692766.0,1.0,7.047043,-6.559006,5.602325,0.296341,1.092041,-0.478882,Walking
13,1664369692867.0,1.0,5.708679,-9.408112,6.823364,1.273193,0.677658,-1.029633,Walking
14,1664369692969.0,1.0,7.621643,-9.223755,2.9711,0.011917,-0.539948,-1.177704,Walking
15,1664369693069.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Walking
16,1664369693171.0,1.0,3.666428,-9.10405,3.035736,0.838562,0.341034,-1.740158,Walking
17,1664369693272.0,1.0,2.998444,-7.440079,2.590408,0.70433,0.208939,-1.085022,Walking
18,1664369693374.0,2.0,1.609802,-6.618866,2.583237,0.146133,0.211075,-0.296722,Walking
19,1664369693475.0,2.0,1.667267,-7.495148,4.012573,-0.436569,0.235565,0.887848,Walking
20,1664369693576.0,2.0,2.998444,-10.104828,5.724426,-0.684769,0.262207,2.1129,Walking
21,1664369693677.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Walking
22,1664369693779.0,2.0,7.080551,-7.607666,5.640625,-0.913803,-0.693344,1.970154,Walking
23,1664369693881.0,2.0,5.296875,-7.830338,4.283112,-0.388626,-0.755127,0.826065,Walking
24,1664369693982.0,2.0,5.885849,-6.439301,5.101929,-0.103134,-1.369781,0.578918,Walking
25,1664369694083.0,2.0,5.184341,-6.293259,5.525711,-0.36412,0.005478,-0.444794,Walking
26,1664369694184.0,2.0,4.961685,-7.8423,6.023697,0.184494,1.162354,-1.100998,Walking
27,1664369694285.0,2.0,4.365524,-11.515015,6.339737,0.26651,1.034515,-1.693283,Walking
28,1664369694387.0,3.0,5.998383,-8.931671,2.537735,-0.432297,0.158875,-1.079697,Walking
29,1664369694488.0,3.0,3.829224,-9.772034,5.631058,0.685165,0.423065,-1.578247,Walking
30,1664369694589.0,3.0,4.001617,-9.623596,2.243256,1.491562,-0.086136,-1.54628,Walking
31,1664369694690.0,3.0,0.965759,-8.68985,0.821106,0.918457,-0.545273,-1.147873,Walking
32,1664369694791.0,3.0,1.712753,-7.09053,3.346985,-0.632568,-0.581482,0.292358,Walking
33,1664369694893.0,3.0,2.407074,-8.673096,4.819412,-0.875458,0.526382,0.892105,Walking
34,1664369694994.0,3.0,4.42778,-10.605209,6.409164,-0.168121,0.285645,2.170425,Walking
35,1664369695095.0,3.0,6.616074,-7.001938,4.843353,-0.501541,-0.265106,2.23114,Walking
36,1664369695197.0,3.0,4.873108,-9.566132,3.751602,-0.132965,0.551956,0.959213,Walking
37,1664369695299.0,3.0,6.175552,-6.848709,5.236008,-0.359863,-0.879761,1.481201,Walking
38,1664369695400.0,4.0,5.143646,-6.094543,5.523315,-0.594223,-0.302383,0.14856,Walking
39,1664369695501.0,4.0,5.723038,-7.14798,6.07637,0.337891,0.15567,-0.197662,Walking
40,1664369695603.0,4.0,6.017532,-11.208557,5.647812,0.975983,-0.105316,-1.091415,Walking
41,1664369695704.0,4.0,5.895432,-8.290024,2.494644,-0.848816,0.802292,-1.485565,Walking
42,1664369695806.0,4.0,2.117371,-9.376984,5.324585,0.358124,0.787384,-2.010742,Walking
43,1664369695907.0,4.0,3.374329,-9.185455,2.078049,0.805542,0.716003,-1.360931,Walking
44,1664369696008.0,4.0,2.838028,-8.045807,2.441971,0.758667,-0.758316,-0.505524,Walking
45,1664369696109.0,4.0,1.95697,-7.777664,3.62471,0.071564,-0.409973,0.248688,Walking
46,1664369696210.0,4.0,2.993652,-9.422485,5.774704,-0.17984,0.146088,0.832458,Walking
47,1664369696311.0,4.0,4.394257,-10.416077,4.481827,-0.256531,0.36554,1.867889,Walking
